         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33/11    0.000    0.000    0.025    0.002 argparse.py:217(<listcomp>)
  460/439    0.001    0.000    0.024    0.000 typing.py:373(inner)
      103    0.001    0.000    0.024    0.000 _compiler.py:573(_code)
        2    0.000    0.000    0.024    0.012 formatters.py:1(<module>)
       89    0.011    0.000    0.024    0.000 traitlets.py:235(getmembers)
       20    0.000    0.000    0.024    0.001 basedatatypes.py:5245(_set_compound_prop)
       22    0.001    0.000    0.024    0.001 basevalidators.py:2683(validate_coerce)
        1    0.000    0.000    0.023    0.023 _figure.py:1(<module>)
       34    0.000    0.000    0.022    0.001 basevalidators.py:2478(data_class)
  204/152    0.000    0.000    0.022    0.000 basedatatypes.py:5879(__contains__)
       69    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
        2    0.000    0.000    0.021    0.011 basedatatypes.py:2515(_initialize_layout_template)
        2    0.000    0.000    0.021    0.010 filters.py:1(<module>)
      164    0.001    0.000    0.020    0.000 <frozen genericpath>:16(exists)
  711/229    0.003    0.000    0.019    0.000 copy.py:201(_deepcopy_list)
        1    0.000    0.000    0.019    0.019 page.py:1(<module>)
        2    0.000    0.000    0.019    0.010 _html.py:25(to_html)
        1    0.000    0.000    0.019    0.019 traitlets.py:1(<module>)
       11    0.000    0.000    0.019    0.002 magic_arguments.py:140(__init__)
       11    0.000    0.000    0.019    0.002 argparse.py:1742(__init__)
       69    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
        1    0.000    0.000    0.018    0.018 prefilter.py:1(<module>)
        1    0.000    0.000    0.018    0.018 key_processor.py:1(<module>)
  637/103    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.018    0.018 basedatatypes.py:1(<module>)
        1    0.000    0.000    0.018    0.018 execution.py:1(<module>)
1224/1202    0.002    0.000    0.018    0.000 basedatatypes.py:4910(__setattr__)
        2    0.000    0.000    0.017    0.009 html.py:1(<module>)
      107    0.000    0.000    0.017    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.017    0.009 contextlib.py:141(__exit__)
        4    0.000    0.000    0.017    0.004 basedatatypes.py:3003(batch_update)
        2    0.000    0.000    0.017    0.009 basedatatypes.py:2868(plotly_update)
        1    0.000    0.000    0.017    0.017 main.py:555(pack)
        2    0.000    0.000    0.017    0.008 dialogs.py:1(<module>)
       38    0.000    0.000    0.016    0.000 basedatatypes.py:5911(__setattr__)
       69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.016    0.016 __init__.py:346(__getattr__)
        1    0.000    0.000    0.016    0.016 __init__.py:43(_load_lexers)
      186    0.000    0.000    0.015    0.000 basevalidators.py:402(validate_coerce)
    56721    0.014    0.000    0.015    0.000 {built-in method builtins.isinstance}
        8    0.000    0.000    0.015    0.002 basedatatypes.py:5886(__setitem__)
       22    0.001    0.000    0.015    0.001 main.py:381(pack2Bin)
       69    0.001    0.000    0.015    0.000 <frozen zipimport>:64(__init__)
      528    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:169(__enter__)
       69    0.015    0.000    0.015    0.000 {built-in method nt.listdir}
1858/1392    0.002    0.000    0.015    0.000 basedatatypes.py:4416(_props)
        1    0.000    0.000    0.015    0.015 generator.py:1(<module>)
